Название;Артикул;Цвет;Наличие;Цена;Остаток;Группа
Бисер Чехия Гамма E410 10_0 5г (01113);E410-5;св.песочный;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E411 10_0 5г (01152);E411-5;св.салатовый;да;25,54p.;20.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E412 10_0 5г (01154);E412-5;т.салатовый;да;25,54p.;13.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E413 10_0 5г (01162);E413-5;зеленый;да;25,54p.;4.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E414 10_0 5г (01164);E414-5;бирюзовый;да;25,54p.;12.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E415 10_0 5г (01182);E415-5;т.желтый;да;25,54p.;11.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E416 10_0 5г (01184);E416-5;оранжевый;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E417 10_0 5г (38318);E417-5;коричневый матовый;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E418 10_0 5г (38356);E418-5;св.зеленый матовый;да;25,54p.;15.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E419 10_0 5г (38365);E419-5;св.голубой матовый;да;25,54p.;4.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E420 10_0 5г (38617);E420-5;кремовый;да;25,54p.;14.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E421 10_0 5г (38618);E421-5;т.кремовый;да;25,54p.;12.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E422 10_0 5г (38619);E422-5;красно-коричневый;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E423 10_0 5г (38625);E423-5;сиренево-розовый;да;25,54p.;20.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E424 10_0 5г (38626);E424-5;св.сиреневый;да;25,54p.;19.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E425 10_0 5г (38627);E425-5;фиолетово-розовый;да;25,54p.;1.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E426 10_0 5г (38632);E426-5;св.голубой;да;25,54p.;13.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E427 10_0 5г (38638);E427-5;васильковый;да;25,54p.;12.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E428 10_0 5г (38649);E428-5;т.серый;да;25,54p.;3.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E429 10_0 5г (38652);E429-5;серо-зеленый;да;25,54p.;15.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E430 10_0 5г (38653);E430-5;бледно-бирюзовый;да;25,54p.;14.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E431 10_0 5г (38656);E431-5;св.зеленый;да;25,54p.;20.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E432 10_0 5г (38657);E432-5;св.хаки;да;25,54p.;2.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E433 10_0 5г (38659);E433-5;хаки;да;25,54p.;6.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E434 10_0 5г (38662);E434-5;св.лазурный;да;25,54p.;1.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E435 10_0 5г (38665);E435-5;голубой;да;25,54p.;9.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E436 10_0 5г (38681);E436-5;бледно-желтый;да;25,54p.;20.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E437 10_0 5г (38683);E437-5;т.желтый;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E438 10_0 5г (38687);E438-5;св.персиковый;да;25,54p.;14.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E439 10_0 5г (38695);E439-5;грязно-розовый;да;25,54p.;9.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E440 10_0 5г (38697);E440-5;розово-бежевый;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E578 10_0 5г (27069);E578-5;сиреневый перламутровый;да;25,54p.;4.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E579 10_0 5г (17059);E579-5;золотистый;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E580 10_0 5г (57129);E580-5;зеленый;да;25,54p.;5.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E582 10_0 5г (47019);E582-5;серый;да;25,54p.;3.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E583 10_0 5г (57719);E583-5;изумрудный;да;25,54p.;20.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E584 10_0 5г (27019);E584-5;сиреневый;да;25,54p.;8.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E585 10_0 5г (17029);E585-5;золотистый;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E586 10_0 5г (67159);E586-5;голубой;да;25,54p.;6.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E587 10_0 5г (37109);E587-5;синий;да;25,54p.;7.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E588 10_0 5г (38325);E588-5;сиреневый;да;25,54p.;7.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E589 10_0 5г (38397);E589-5;красный;да;25,54p.;23.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E590 10_0 5г (38332);E590-5;св.голубой;да;25,54p.;22.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E591 10_0 5г (68283);E591-5;золотистый;да;25,54p.;4.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E593 10_0 5г (38326);E593-5;сиреневый;да;25,54p.;5.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E594 10_0 5г (38338);E594-5;т.синий;да;25,54p.;15.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E595 10_0 5г (38362);E595-5;св.голубой;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E596 10_0 5г (38383);E596-5;желтый;да;25,54p.;11.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E597 10_0 5г (38381);E597-5;желтый;да;25,54p.;14.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E598 10_0 5г (38395);E598-5;красный;да;25,54p.;8.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E599 10_0 5г (38319);E599-5;коричневый;да;25,54p.;6.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E600 10_0 5г (38327);E600-5;розово-сиреневый;да;25,54p.;20.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E601 10_0 5г (38357);E601-5;зеленый;да;25,54p.;13.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E602 10_0 5г (38359);E602-5;т.зеленый;да;25,54p.;8.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E603 10_0 5г (38317);E603-5;св.коричневый;да;25,54p.;23.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E604 10_0 5г (68428);E604-5;сиреневый;да;25,54p.;18.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E605 10_0 5г (68498);E605-5;розовый;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E606 10_0 5г (68298);E606-5;розовый;да;25,54p.;19.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E607 10_0 5г (68236);E607-5;синий;да;25,54p.;19.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E608 10_0 5г (38352);E608-5;св.зеленый;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E609 10_0 5г (68258);E609-5;зеленый;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E613 10_0 5г (07122);E613-5;розовый перламутровый;да;28,55p.;23.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E614 10_0 5г (07622);E614-5;розовый;да;25,54p.;9.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E615 10_0 5г (68284);E615-5;золотистый;да;25,54p.;3.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E616 10_0 5г (68108);E616-5;серый;да;25,54p.;33.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E617 10_0 5г (68286);E617-5;желтый;да;25,54p.;23.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E618 10_0 5г (41141);E618-5;серый;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E619 10_0 5г (63181);E619-5;желтый;да;25,54p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма E620 10_0 5г (07022);E620-5;розовый;да;25,54p.;19.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F149 10_0 5г (87060);F149-5;рыжий;да;28,55p.;14.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F151 10_0 5г (91030);F151-5;яр.оранжевый;да;28,55p.;19.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F157 10_0 5г (97090);F157-5;гранат;да;28,55p.;11.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F182 10_0 5г (87010);F182-5;желтый;да;28,55p.;15.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F183 10_0 5г (97050);F183-5;оранжево-красный;да;28,55p.;15.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F185 10_0 5г (97120);F185-5;т.красный;да;58,68p.;11.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F195 10_0 5г (17110);F195-5;т.янтарный;да;28,55p.;13.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F196 10_0 5г (17140);F196-5;т.коричневый;да;28,55p.;22.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F197 10_0 5г (57150);F197-5;т.зеленый;да;28,55p.;8.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F198 10_0 5г (97030);F198-5;яр.оранжевый;да;28,55p.;8.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F232 10_0 5г (57290);F232-5;т.зеленый;да;28,55p.;15.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F233 10_0 5г (97000);F233-5;оранжевый;да;28,55p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F377 10_0 5г (08225);F377-5;лиловый;да;28,55p.;20.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F378 10_0 5г (08228);F378-5;фиолетовый;да;28,55p.;23.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F379 10_0 5г (08236);F379-5;синий;да;28,55p.;4.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F380 10_0 5г (08256);F380-5;салатовый;да;28,55p.;13.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F381 10_0 5г (08258);F381-5;зеленый;да;28,55p.;13.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F382 10_0 5г (08265);F382-5;голубой;да;28,55p.;6.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F383 10_0 5г (08273);F383-5;св.розовый;да;28,55p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F384 10_0 5г (08275);F384-5;розовый;да;28,55p.;13.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F385 10_0 5г (08277);F385-5;т.розовый;да;28,55p.;6.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F386 10_0 5г (08283);F386-5;св.желтый;да;28,55p.;8.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F387 10_0 5г (08286);F387-5;желтый;да;28,55p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F388 10_0 5г (08288);F388-5;св.оранжевый;да;28,55p.;2.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F389 10_0 5г (08289);F389-5;оранжевый;да;28,55p.;5.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F390 10_0 5г (08298);F390-5;малиновый;да;28,55p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F392 10_0 5г (18123);F392-5;сиреневый металлик;да;28,55p.;8.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F393 10_0 5г (18131);F393-5;серебряный;да;28,55p.;29.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F395 10_0 5г (18154);F395-5;фисташковый металлик;да;28,55p.;39.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F396 10_0 5г (18161);F396-5;св.салатовый металлик;да;28,55p.;5.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F397 10_0 5г (18165);F397-5;св.зеленый металлик;да;28,55p.;1.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F398 10_0 5г (18181);F398-5;золотой;да;28,55p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F400 10_0 5г (18191);F400-5;розовый металлик;да;28,55p.;2.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F442 10_0 5г (18134);F442-5;т.зеленый металлик;да;28,55p.;4.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F443 10_0 5г (18151);F443-5;св.хаки металлик;да;28,55p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F444 10_0 5г (18192);F444-5;т.розовый металлик;да;28,55p.;29.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F445 10_0 5г (28918_1);F445-5;т.серый матовый;да;28,55p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F446 10_0 5г (28928_1);F446-5;т.сливовый матовый;да;28,55p.;2.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F447 10_0 5г (28936_1);F447-5;т.синий матовый;да;28,55p.;5.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F448 10_0 5г (28958_1);F448-5;т.зеленый матовый;да;28,55p.;7.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F474 10_0 5г (17708);F474-5;серый;да;28,55p.;11.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F475 10_0 5г (17728);F475-5;сиреневый;да;28,55p.;21.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F476 10_0 5г (17736);F476-5;синий;да;28,55p.;4.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F477 10_0 5г (17749);F477-5;серый;да;28,55p.;12.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F478 10_0 5г (17758);F478-5;бирюзовый;да;28,55p.;5.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F479 10_0 5г (17783);F479-5;рыжий;да;28,55p.;22.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F480 10_0 5г (17786);F480-5;желтый;да;28,55p.;19.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F481 10_0 5г (17796);F481-5;розовый;да;28,55p.;6.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F483 10_0 5г (18928);F483-5;сиреневый;да;28,55p.;11.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F484 10_0 5г (18936);F484-5;синий;да;28,55p.;4.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F485 10_0 5г (18949);F485-5;серый;да;28,55p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F486 10_0 5г (18958);F486-5;бирюзовый;да;28,55p.;24.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F487 10_0 5г (18983);F487-5;оранжевый;да;28,55p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F488 10_0 5г (18986);F488-5;желтый;да;28,55p.;8.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F489 10_0 5г (18996);F489-5;розовый;да;28,55p.;8.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F650 10_0 5г (18325);F650-5;лиловый металлик;да;28,55p.;11.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F651 10_0 5г (18328);F651-5;фиолетовый металлик;да;28,55p.;13.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F652 10_0 5г (18336);F652-5;синий металлик;да;28,55p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F653 10_0 5г (18356);F653-5;св.зеленый металлик;да;28,55p.;13.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F654 10_0 5г (18358);F654-5;т.зеленый металлик;да;28,55p.;5.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F655 10_0 5г (18365);F655-5;бирюзовый металлик;да;28,55p.;15.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F656 10_0 5г (18377);F656-5;малиновый металлик;да;28,55p.;15.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F657 10_0 5г (18389);F657-5;золотой металлик;да;28,55p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма F658 10_0 5г (18398);F658-5;красно-малиновый металлик;да;28,55p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G449 10_0 5г (33021);G449-5;серо-голубой;да;58,68p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G450 10_0 5г (33023);G450-5;т.синий;да;58,68p.;6.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G451 10_0 5г (33025);G451-5;грязно-голубой;да;58,68p.;1.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G452 10_0 5г (33061);G452-5;т.сливовый;да;58,68p.;8.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G453 10_0 5г (33062);G453-5;баклажановый;да;58,68p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G454 10_0 5г (46025);G454-5;т.сиреневый;да;58,68p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G455 10_0 5г (46035);G455-5;зелено-голубой;да;58,68p.;4.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G456 10_0 5г (46055);G456-5;грязно-зеленый;да;58,68p.;8.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G458 10_0 5г (46088);G458-5;т.бежевый;да;58,68p.;7.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G459 10_0 5г (46095);G459-5;св.коричневый;да;58,68p.;6.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G461 10_0 5г (49095);G461-5;т.коричневый;да;58,68p.;6.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G462 10_0 5г (53233);G462-5;т.зеленый;да;58,68p.;10.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G463 10_0 5г (63021);G463-5;серо-зеленый;да;58,68p.;5.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G464 10_0 5г (63022);G464-5;сине-сиреневый;да;58,68p.;1.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G465 10_0 5г (63025);G465-5;серо-бирюзовый;да;58,68p.;9.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G466 10_0 5г (83111);G466-5;т.желтый;да;58,68p.;4.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G469 10_0 5г (83119);G469-5;т.золото;да;58,68p.;5.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G470 10_0 5г (93141);G470-5;оранжевый;да;58,68p.;3.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G471 10_0 5г (93192);G471-5;красно-коричневый;да;58,68p.;1.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма G472 10_0 5г (93195);G472-5;коричневый;да;58,68p.;1.0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A004 10_0 5г (16090);A004-5;св.коричневый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A005 10_0 5г (16128);A005-5;сиреневый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A007 10_0 5г (16177);A007-5;розовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A009 10_0 5г (16189);A009-5;абрикосовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A039 10_0 5г (37173);A039-5;розовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A046 10_0 5г (38102);A046-5;белый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A066 10_0 5г (57102);A066-5;белый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A067 10_0 5г (57205);A067-5;белый меланж;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A068 10_0 5г (57206);A068-5;кремовый меланж;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A077 10_0 5г (59205);A077-5;черный меланж;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A079 10_0 5г (61016);A079-5;сиреневый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A211 10_0 5г (16173);A211-5;св.розовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A217 10_0 5г (46205);A217-5;белый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A281 10_0 5г (48102);A281-5;прозрачный;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A285 10_0 5г (58205);A285-5;прозрачный перламутр;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A490 10_0 5г (11027);A490-5;розовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A494 10_0 5г (16125);A494-5;сиреневый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A497 10_0 5г (26080);A497-5;сливовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A506 10_0 5г (38124);A506-5;розовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A507 10_0 5г (38126);A507-5;бл.розовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A508 10_0 5г (38127);A508-5;св.фиолетовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A512 10_0 5г (38156);A512-5;св.бирюзовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A516 10_0 5г (38181);A516-5;желтый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A519 10_0 5г (38184);A519-5;желтый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A522 10_0 5г (38188);A522-5;персиковый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A528 10_0 5г (38877);A528-5;розовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A534 10_0 5г (49010);A534-5;коричневый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A535 10_0 5г (51060);A535-5;зеленый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A539 10_0 5г (54240);A539-5;зеленый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A543 10_0 5г (58310);A543-5;салатовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A544 10_0 5г (58502);A544-5;прозрачный перламутр;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A546 10_0 5г (58517);A546-5;коричневый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A550 10_0 5г (58526);A550-5;розовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A551 10_0 5г (58528);A551-5;розовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A552 10_0 5г (58532);A552-5;голубой;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A558 10_0 5г (58562);A558-5;св.голубой;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A560 10_0 5г (58573);A560-5;св.розовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A563 10_0 5г (58586);A563-5;желтый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A569 10_0 5г (61006);A569-5;розово-сиреневый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма A571 10_0 5г (61018);A571-5;брусничный;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B089 10_0 5г (02090);B089-5;белый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B090 10_0 5г (03050);B090-5;белый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B097 10_0 5г (23020);B097-5;лиловый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B099 10_0 5г (30050);B099-5;св.васильковый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B100 10_0 5г (30080);B100-5;васильковый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B102 10_0 5г (30110);B102-5;т.синий;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B107 10_0 5г (40010);B107-5;серый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B115 10_0 5г (53250);B115-5;св.зеленый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B116 10_0 5г (53310);B116-5;салатовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B123 10_0 5г (63050);B123-5;т.голубой;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B124 10_0 5г (63130);B124-5;бирюзовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B167 10_0 5г (20080);B167-5;т.лиловый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B171 10_0 5г (33000);B171-5;св.сиреневый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B172 10_0 5г (33040);B172-5;голубой;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма B173 10_0 5г (33060);B173-5;васильковый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма C128 10_0 5г (83110);C128-5;желтый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма C129 10_0 5г (83130);C129-5;яр.желтый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма C136 10_0 5г (93140);C136-5;яр.оранжевый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма C630 10_0 5г (10050);C630-5;т.рыжий матовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма C631 10_0 5г (10090);C631-5;коричневый матовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма C633 10_0 5г (30050);C633-5;св.васильковый матовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма C636 10_0 5г (50220);C636-5;салатовый матовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма C637 10_0 5г (60010);C637-5;голубой матовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма D140 10_0 5г (46113);D140-5;под жемчуг;нет;25,54p.;0;Бисер Чехия 5г Гамма
Бисер Чехия Гамма D141 10_0 5г (47112);D141-5;кремовый;нет;25,54p.;0;Бисер Чехия 5г Гамма
